Id,Obs_Date,State,Country,Update,Confirmed,Deaths,Recovered
4670,2020-03-10,"",India,2020-03-10T10:13:28,56,0,4
4880,2020-03-11,"",India,2020-03-11T22:13:12,62,1,4
5097,2020-03-12,"",India,2020-03-12T08:33:13,73,1,4
5380,2020-03-13,"",India,2020-03-11T20:00:00,82,2,4
5556,2020-03-14,"",India,2020-03-14T20:33:03,102,2,4
5806,2020-03-15,"",India,2020-03-15T18:20:18,113,2,13
6076,2020-03-16,"",India,2020-03-16T14:38:45,119,2,13
6347,2020-03-17,"",India,2020-03-17T15:33:06,142,3,14
6627,2020-03-18,"",India,2020-03-18T13:33:12,156,3,14
6915,2020-03-19,"",India,2020-03-19T20:43:02,194,4,15
7208,2020-03-20,"",India,2020-03-20T15:13:21,244,5,20
7501,2020-03-21,"",India,2020-03-21T17:43:03,330,4,23
7806,2020-03-22,"",India,3/8/2020 5:31,396,7,24
8109,2020-03-23,"",India,3/23/2020 23:23,499,10,34
8409,2020-03-24,"",India,3/24/2020 23:41,536,10,40
8714,2020-03-25,"",India,3/25/2020 23:37,657,12,43
9021,2020-03-26,"",India,3/26/2020 23:53,727,20,45
9333,2020-03-27,"",India,3/27/2020 23:27,887,20,73
9645,2020-03-28,"",India,3/8/2020 5:31,987,24,84
9961,2020-03-29,"",India,3/8/2020 5:31,1024,27,95
10278,2020-03-30,"",India,3/8/2020 5:31,1251,32,102
10596,2020-03-31,"",India,3/31/2020 23:49,1397,35,123
10914,2020-04-01,"",India,4/1/2020 22:04,1998,58,148
11232,2020-04-02,"",India,4/2/2020 8:53,2543,72,191
11552,2020-04-03,"",India,4/3/2020 22:52,2567,72,192
11872,2020-04-04,"",India,4/4/2020 9:38,3082,86,229
12193,2020-04-05,"",India,4/5/2020 23:13,3588,99,229
12516,2020-04-06,"",India,4/6/2020 9:37,4778,136,375
12840,2020-04-07,"",India,4/7/2020 23:11,5311,150,421
13164,2020-04-08,"",India,4/8/2020 22:59,5916,178,506
13488,2020-04-09,"",India,4/9/2020 23:09,6725,226,620
13812,2020-04-10,"",India,4/10/2020 23:01,7598,246,774
14137,2020-04-11,"",India,4/11/2020 22:52,8446,288,969
14462,2020-04-12,"",India,4/12/2020 23:25,9205,331,1080
14786,2020-04-13,"",India,4/13/2020 23:15,10453,358,1181
15110,2020-04-14,"",India,4/14/2020 23:41,11487,393,1359
15434,2020-04-15,"",India,4/15/2020 23:04,12322,405,1432
15758,2020-04-16,"",India,4/16/2020 23:38,13430,448,1768
16082,2020-04-17,"",India,4/17/2020 23:38,14352,486,2041
16406,2020-04-18,"",India,4/18/2020 22:40,15722,521,2463
16730,2020-04-19,"",India,4/19/2020 23:49,17615,559,2854
17054,2020-04-20,"",India,4/20/2020 23:44,18539,592,3273
17378,2020-04-21,"",India,4/21/2020 23:39,20080,645,3975
17702,2020-04-22,"",India,4/22/2020 23:38,21370,681,4370
18025,2020-04-23,"",India,4/24/2020 3:31,23077,721,5012
18349,2020-04-24,"",India,4/25/2020 6:31,24530,780,5498
18670,2020-04-25,"",India,4/26/2020 2:31,26283,825,5939
18991,2020-04-26,"",India,4/27/2020 2:31,27890,881,6523
19312,2020-04-27,"",India,4/28/2020 2:31,29451,939,7137
19637,2020-04-28,"",India,4/29/2020 2:32,31324,1008,7747
19962,2020-04-29,"",India,4/30/2020 2:32,33062,1079,8437
20288,2020-04-30,"",India,5/1/2020 2:32,34863,1154,9068
20615,2020-05-01,"",India,5/2/2020 2:32,37257,1223,10007
20942,2020-05-02,"",India,5/3/2020 2:32,39699,1323,10819
21269,2020-05-03,"",India,5/4/2020 2:32,42505,1391,11775
21596,2020-05-04,"",India,5/5/2020 2:32,46437,1566,12847
21923,2020-05-05,"",India,5/6/2020 2:32,49400,1693,14142
22250,2020-05-06,"",India,4/2/2021 15:13,52987,1785,15331
22577,2020-05-07,"",India,4/2/2021 15:13,56351,1889,16776
22904,2020-05-08,"",India,4/2/2021 15:13,59695,1985,17887
23231,2020-05-09,"",India,4/2/2021 15:13,62808,2101,19301
23558,2020-05-10,"",India,4/2/2021 15:13,67161,2212,20969
23885,2020-05-11,"",India,4/2/2021 15:13,70768,2294,22549
24212,2020-05-12,"",India,4/2/2021 15:13,74292,2415,24420
24539,2020-05-13,"",India,4/2/2021 15:13,78055,2551,26400
24866,2020-05-14,"",India,4/2/2021 15:13,81997,2649,27969
25247,2020-05-15,"",India,4/2/2021 15:13,85784,2753,30258
25628,2020-05-16,"",India,4/2/2021 15:13,90648,2871,34224
26009,2020-05-17,"",India,4/2/2021 15:13,95698,3025,36795
26390,2020-05-18,"",India,4/2/2021 15:13,100328,3156,39233
26771,2020-05-19,"",India,4/2/2021 15:13,106475,3302,42309
27151,2020-05-20,"",India,4/2/2021 15:13,112028,3434,45422
27607,2020-05-21,"",India,4/2/2021 15:13,118226,3584,48553
28063,2020-05-22,"",India,4/2/2021 15:13,124794,3726,51824
28519,2020-05-23,"",India,4/2/2021 15:13,131423,3868,54385
28975,2020-05-24,"",India,4/2/2021 15:13,138536,4024,57692
29431,2020-05-25,"",India,4/2/2021 15:13,144950,4172,60706
